graph,query_idx,source,target,hit_expansions,alt_expansions,hit_p50_ms,alt_p50_ms
FLA,58,415515,43585,57213,9090,444.1150500206277,222.54403901752084
FLA,59,64044,960061,8761,17767,167.54999302793294,281.3787030754611
FLA,60,442296,109556,91882,69438,517.1600339235738,637.1140859555453
FLA,61,767595,200235,55923,37060,348.8758410094306,421.60588898696005
FLA,62,25939,542335,8623,7431,170.72745505720377,210.89036797638983
FLA,63,75766,408923,32216,34259,312.19369592145085,459.8953219829127
FLA,64,568550,387261,105570,82050,605.2171230548993,886.8349409895018
FLA,65,810208,685440,158796,29528,702.3526480188593,379.98005107510835
FLA,66,984346,137848,262516,122156,1139.4062630133703,1116.2382650654763
FLA,67,617075,127948,247949,205487,1208.48491799552,1776.6789139714092
FLA,68,402690,499046,608,309,144.6520199533552,158.86762703303248
FLA,69,451269,21959,240901,104942,1206.0784519417211,915.5744089512154
FLA,70,228576,1015602,47920,20774,316.0371519625187,302.331440965645
FLA,71,914091,165838,31687,29077,315.9115129383281,418.16900891717523
FLA,72,61087,1013343,16431,28180,261.3154570572078,360.1024691015482
FLA,73,118451,439792,42741,23667,343.98325497750193,323.9052420249209
FLA,74,39353,193075,54704,16101,404.62925808969885,274.6052579022944
FLA,75,65318,765313,38136,40275,291.2435909966007,440.2358339866623
FLA,76,416880,591460,27989,32728,305.8753591030836,442.87121400702745
FLA,77,740976,781239,60815,111608,481.0817319666967,1060.9267570544034
FLA,78,770746,813168,41057,36183,354.52364396769553,481.8199020810425
FLA,79,225281,1020545,96174,60073,561.0801370348781,637.0725369779393
FLA,80,898613,269536,271661,144324,1258.075446006842,1295.3073320677504
